名前,英語名前,全国図鑑番号,ガラル図鑑番号,特性,タイプ,身長,体重,技
ツンベアー,Beartic,614,280,ゆきがくれ/ゆきかき/すいすい,こおり,2.6m,260.0kg,あくび/あなをほる/あばれる/あまえる/あまごい/あられ/いあいぎり/いばる/いびき/いわくだき/いわなだれ/おんがえし/かいりき/かげぶんしん/からげんき/かわらわり/がまん/がんせきふうじ/きあいだま/きあいパンチ/きりさく/くさむすび/けたぐり/こおりのいぶき/こおりのキバ/こごえるかぜ/こなゆき/こらえる/こわいかお/しおみず/じごくづき/じたばた/じならし/じゃれつく/ぜったいれいど/ちょうはつ/つじぎり/つばめがえし/つめとぎ/つららおとし/つららばり/つるぎのまい/どくどく/ないしょばなし/なかよくする/なきごえ/なげつける/なみのり/ねごと/ねむる/はかいこうせん/ばかぢから/ひみつのちから/ふぶき/ほえる/ほしがる/まもる/みがわり/みずのはどう/みだれひっかき/めざめるパワー/やつあたり/ゆきなだれ/りんしょう/れいとうパンチ/れいとうビーム/アクアジェット/アクアブレイク/アンコール/エコーボイス/ギガインパクト/グロウパンチ/シャドークロー/ストーンエッジ/ダイビング/ダメおし/ビルドアップ/ヘビーボンバー/ボディプレス/メガトンキック/メガトンパンチ/メロメロ
フリージオ,Cryogonal,615,-1,ふゆう,こおり,1.1m,148.0kg,あまごい/あやしいひかり/あられ/いばる/いびき/おんがえし/かくばる/かげぶんしん/からげんき/きりさく/きりばらい/くろいきり/げんしのちから/こうそくスピン/こおりのいぶき/こおりのつぶて/こごえるかぜ/しめつける/しろいきり/じこさいせい/ぜったいれいど/だいばくはつ/つじぎり/てっぺき/とぎすます/とける/どくづき/どくどく/ないしょばなし/ねごと/ねむる/はかいこうせん/はたきおとす/ひかりのかべ/ひみつのちから/ふぶき/まもる/みがわり/みずのはどう/めざめるパワー/やつあたり/りんしょう/れいとうビーム/アクロバット/オーロラビーム/オーロラベール/シグナルビーム/ソーラービーム/フリーズドライ/マジックコート/メロメロ/ラスターカノン/リフレクター
チョボマキ,Shelmet,616,275,うるおいボディ/シェルアーマー/ぼうじん,むし,0.4m,7.7kg,あくび/あまごい/いえき/いのちがけ/いばる/いびき/おいうち/おんがえし/かげぶんしん/からげんき/がまん/きゅうけつ/こころのめ/こらえる/じこさいせい/すいとる/すてみタックル/とける/どくどく/どくびし/どろかけ/ないしょばなし/ねごと/ねむる/のしかかり/のろい/ひみつのちから/まきびし/まとわりつく/まもる/みがわり/むしくい/むしのさざめき/むしのていこう/めざめるパワー/やつあたり/ようかいえき/りんしょう/アンコール/エナジーボール/ガードシェア/ガードスワップ/ギガドレイン/シグナルビーム/バトンタッチ/フェイント/ヘドロばくだん/ベノムショック/マッドショット/メガドレイン/メロメロ
アギルダー,Accelgor,617,276,うるおいボディ/ねんちゃく/かるわざ,むし,0.8m,25.3kg,あくび/あまごい/いえき/いのちがけ/いばる/いびき/おいうち/おんがえし/かげぶんしん/からげんき/がまん/きあいだま/きしかいせい/きゅうけつ/こうそくいどう/こころのめ/こらえる/さきどり/じこさいせい/すいとる/すてみタックル/すなあらし/でんこうせっか/とぎすます/とける/とんぼがえり/どくどく/どくびし/どろかけ/ないしょばなし/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はたきおとす/ひみつのちから/まきびし/まとわりつく/まもる/みがわり/みずしゅりけん/むしくい/むしのさざめき/むしのていこう/めざめるパワー/やつあたり/ようかいえき/りんしょう/アシッドボム/アンコール/エナジーボール/ガードシェア/ガードスワップ/ギガインパクト/ギガドレイン/シグナルビーム/スピードスター/ドレインパンチ/バトンタッチ/パワースワップ/フェイント/ヘドロばくだん/ベノムショック/ベノムトラップ/マッドショット/メガドレイン/メロメロ
マッギョ,Stunfisk,618,-1,せいでんき/じゅうなん/すながくれ,じめん/むし,0.7m,11.0kg,10まんボルト/あくび/あなをほる/あまごい/いたみわけ/いばる/いびき/いわなだれ/うらみ/おどろかす/おんがえし/かいでんぱ/かげぶんしん/かみなり/からげんき/がまん/がむしゃら/がんせきふうじ/こらえる/さきどり/さわぐ/しっぺがえし/じしん/じたばた/じだんだ/じならし/じゅうでん/じわれ/すなあらし/たいあたり/だいちのちから/だくりゅう/でんきショック/でんげきは/でんじは/でんじふゆう/とびはねる/どくどく/どろあそび/どろかけ/どろばくだん/ないしょばなし/なみのり/ねごと/ねっとう/ねむる/のろい/ひみつのちから/ふいうち/ほうでん/ほごしょく/まとわりつく/まもる/みがわり/みずでっぽう/みずのはどう/めざめるパワー/やつあたり/りんしょう/アクアテール/イカサマ/エレキネット/エレキフィールド/ステルスロック/ストーンエッジ/スパーク/フラッシュ/ヘドロばくだん/ヘドロウェーブ/マッドショット/ミラータイプ/メロメロ/リベンジ
マッギョ,Stunfisk,618,226,ぎたい,じめん/はがね,0.7m,20.5kg,あくび/あなをほる/あまごい/いたみわけ/いびき/いやなおと/いわなだれ/うらみ/おどろかす/かみくだく/からげんき/がんせきふうじ/きんぞくおん/こおりのキバ/こらえる/さわぐ/しっぺがえし/しめつける/じしん/じたばた/じだんだ/じならし/じわれ/すなあらし/たいあたり/だいちのちから/だくりゅう/てっていこうせん/てっぺき/でんじは/とびはねる/どろかけ/なみのり/ねごと/ねっとう/ねむる/のろい/ふいうち/まもる/みがわり/みずでっぽう/りんしょう/イカサマ/カウンター/ステルスロック/ストーンエッジ/トラバサミ/ヘドロばくだん/ヘドロウェーブ/マッドショット/ミラータイプ/メタルクロー/メロメロ/ラスターカノン/リベンジ
コジョフー,Mienfoo,619,-1,せいしんりょく/さいせいりょく/すてみ,かくとう,0.9m,20.0kg,あてみなげ/あなをほる/あまごい/いばる/いびき/いわくだき/いわなだれ/おうふくビンタ/おんがえし/かいりき/かげぶんしん/かたきうち/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいパンチ/きしかいせい/きつけ/くさむすび/けたぐり/こらえる/さきどり/しっぺがえし/じこあんじ/ちょうはつ/つばめがえし/つるぎのまい/てだすけ/とびげり/とびはねる/とびひざげり/とんぼがえり/どくづき/どくどく/ないしょばなし/なげつける/なりきり/にほんばれ/ねこだまし/ねごと/ねむる/はたきおとす/はたく/はっけい/はどうだん/ひみつのちから/ふるいたてる/まもる/みがわり/みきり/めいそう/めざめるパワー/やつあたり/りんしょう/アクロバット/グロウパンチ/サイドチェンジ/ストーンエッジ/スピードスター/ダブルチョップ/ドレインパンチ/バトンタッチ/ビルドアップ/ファストガード/フェイント/メロメロ/ヨガのポーズ/リフレクター/ローキック
ニョロボン,Poliwrath,62,-1,ちょすい/しめりけ/すいすい,みず/かくとう,1.3m,54.0kg,あなをほる/あまごい/あられ/あわ/いかり/いばる/いびき/いわくだき/いわなだれ/うずしお/おうふくビンタ/おんがえし/かいりき/かげぶんしん/からげんき/かわらわり/がまん/がむしゃら/がんせきふうじ/きあいだま/きあいパンチ/くろいきり/こころのめ/こごえるかぜ/こらえる/さいみんじゅつ/しぜんのめぐみ/しっぺがえし/しろいきり/しんくうは/じごくぐるま/じごくづき/じしん/じならし/じわれ/すてみタックル/ずつき/たきのぼり/ちきゅうなげ/てだすけ/てんしのキッス/とっしん/ともえなげ/どくづき/どくどく/どろかけ/どろばくだん/どろぼう/ないしょばなし/なげつける/なみのり/ねごと/ねっとう/ねむる/のしかかり/のろい/はかいこうせん/はねる/はらだいこ/ばくれつパンチ/ひみつのちから/ふぶき/ふるいたてる/まもる/まるくなる/みがわり/みきり/みずあそび/みずでっぽう/みずのはどう/めざましビンタ/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/りんしょう/れいとうパンチ/れいとうビーム/アイスボール/アンコール/カウンター/ギガインパクト/グロウパンチ/サイコウェーブ/サイコキネシス/ダイビング/ダブルチョップ/ドわすれ/ハイドロポンプ/バブルこうせん/ビルドアップ/マッドショット/メガトンキック/メガトンパンチ/メロメロ/リフレッシュ/ロケットずつき/ロッククライム/ローキック
コジョンド,Mienshao,620,-1,せいしんりょく/さいせいりょく/すてみ,かくとう,1.4m,35.5kg,あてみなげ/あなをほる/あまごい/いばる/いびき/いわくだき/いわなだれ/おうふくビンタ/おんがえし/かいりき/かげぶんしん/かたきうち/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいパンチ/きしかいせい/きつけ/くさむすび/けたぐり/こらえる/さきどり/しっぺがえし/じこあんじ/ちょうはつ/つばめがえし/つるぎのまい/てだすけ/とぎすます/とびげり/とびはねる/とびひざげり/とんぼがえり/どくづき/どくどく/ないしょばなし/なげつける/なりきり/にほんばれ/ねこだまし/ねごと/ねむる/はかいこうせん/はたきおとす/はたく/はっけい/はどうだん/ひみつのちから/ふるいたてる/まもる/みがわり/みきり/めいそう/めざめるパワー/やつあたり/りんしょう/アクロバット/ギガインパクト/グロウパンチ/サイドチェンジ/ストーンエッジ/スピードスター/ダブルチョップ/ドレインパンチ/バトンタッチ/ビルドアップ/ファストガード/フェイント/メロメロ/ヨガのポーズ/リフレクター/ローキック/ワイドガード
クリムガン,Druddigon,621,-1,さめはだ/ちからずく/かたやぶり,ドラゴン,1.6m,139.0kg,あくのはどう/あなをほる/あまごい/いあいぎり/いちゃもん/いばる/いびき/いわくだき/いわなだれ/うちおとす/おいうち/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かたきうち/かみくだく/かみつく/かみなりのキバ/かみなりパンチ/からげんき/がんせきふうじ/きあいだま/きりさく/げきりん/こわいかお/しっぺがえし/じしん/じだんだ/じならし/だましうち/ちょうはつ/つじぎり/つばめがえし/つめとぎ/でんげきは/どくどく/ないしょばなし/なげつける/なしくずし/なみのり/にほんばれ/にらみつける/ねごと/ねっぷう/ねむる/はかいこうせん/ばかぢから/ひっかく/ひみつのちから/ふいうち/へびにらみ/ほえる/ほのおのキバ/ほのおのパンチ/まもる/みがわり/めざめるパワー/やきつくす/やつあたり/よこどり/りゅうせいぐん/りゅうのいかり/りゅうのはどう/りんしょう/アイアンテール/アイアンヘッド/アクアテール/ギガインパクト/グロウパンチ/シャドークロー/ステルスロック/ダストシュート/チャージビーム/ドラゴンクロー/ドラゴンテール/バークアウト/ブレイククロー/ヘドロばくだん/ポイズンテール/メタルクロー/メロメロ/ラスターカノン/リベンジ/ロッククライム
ゴビット,Golett,622,88,てつのこぶし/ぶきよう/ノーガード,じめん/ゴースト,1.0m,92.0kg,あなをほる/あまごい/いばる/いびき/いわくだき/いわなだれ/おどろかす/おんがえし/かいりき/かげぶんしん/かみなりパンチ/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいパンチ/くさむすび/けたぐり/こごえるかぜ/こらえる/ころがる/しんぴのまもり/じしん/じだんだ/じならし/じばく/じゅうりょく/だいちのちから/てだすけ/てっぺき/でんげきは/とおせんぼう/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/ねごと/ねむる/のろい/はたく/ばかぢから/ばくれつパンチ/ひみつのちから/ふういん/ほのおのパンチ/まもる/まるくなる/みがわり/めざめるパワー/やつあたり/りんしょう/れいとうパンチ/れいとうビーム/アームハンマー/グロウパンチ/ゴーストダイブ/サイコキネシス/サイドチェンジ/シグナルビーム/シャドーパンチ/シャドーボール/ジャイロボール/ステルスロック/テレキネシス/ドレインパンチ/ナイトヘッド/フラッシュ/ヘビーボンバー/マグニチュード/マジックコート/メガトンキック/メガトンパンチ/ロックカット/ローキック
ゴルーグ,Golurk,623,89,てつのこぶし/ぶきよう/ノーガード,じめん/ゴースト,2.8m,330.0kg,10まんばりき/10まんボルト/DDラリアット/あなをほる/あまごい/いばる/いびき/いわくだき/いわなだれ/おどろかす/おんがえし/かいりき/かげぶんしん/かみなりパンチ/からげんき/かわらわり/がんせきふうじ/きあいだま/きあいパンチ/くさむすび/けたぐり/こごえるかぜ/こらえる/ころがる/しねんのずつき/しんぴのまもり/じしん/じだんだ/じならし/じばく/じゅうりょく/そらをとぶ/だいちのちから/てだすけ/てっぺき/でんげきは/とおせんぼう/どくどく/どろかけ/どろぼう/ないしょばなし/なげつける/ねごと/ねむる/のしかかり/のろい/はかいこうせん/はたく/ばかぢから/ばくれつパンチ/ひみつのちから/ふういん/ほのおのパンチ/まもる/まるくなる/みがわり/めざめるパワー/やつあたり/りんしょう/れいとうパンチ/れいとうビーム/アームハンマー/インファイト/ギガインパクト/グロウパンチ/ゴーストダイブ/サイコキネシス/サイドチェンジ/シグナルビーム/シャドーパンチ/シャドーボール/ジャイロボール/ステルスロック/ストーンエッジ/ソーラービーム/チャージビーム/テレキネシス/トリック/ドレインパンチ/ナイトヘッド/ヒートスタンプ/フラッシュ/ヘビーボンバー/ボディプレス/マグニチュード/マジックコート/メガトンキック/メガトンパンチ/ラスターカノン/ロックカット/ローキック
コマタナ,Pawniard,624,246,まけんき/せいしんりょく/プレッシャー,あく/はがね,0.5m,10.2kg,あくのはどう/あなをほる/あまごい/いあいぎり/いちゃもん/いばる/いびき/いやなおと/いわくだき/うらみ/おいうち/おんがえし/かげぶんしん/かたきうち/からげんき/かわらわり/がんせきふうじ/きりさく/きんぞくおん/くさむすび/くろいまなざし/けたぐり/こらえる/こわいかお/さしおさえ/しっぺがえし/すなあらし/ずつき/だましうち/ちょうはつ/つじぎり/つばめがえし/つめとぎ/つるぎのまい/てっていこうせん/てっぺき/でんじは/でんじふゆう/とぎすます/どくづき/どくどく/どろぼう/ないしょばなし/なげつける/なりきり/にらみつける/ねごと/ねむる/はたきおとす/ひっかく/ひみつのちから/ふいうち/ふくろだたき/まもる/みがわり/みねうち/めざめるパワー/やつあたり/よこどり/りんしょう/れんぞくぎり/アイアンヘッド/イカサマ/グロウパンチ/サイコカッター/シザークロス/シャドークロー/ステルスロック/ダブルチョップ/ダメおし/ハサミギロチン/バークアウト/ファストガード/メタルクロー/メロメロ/リベンジ/ロックカット/ローキック
キリキザン,Bisharp,625,247,まけんき/せいしんりょく/プレッシャー,あく/はがね,1.6m,70.0kg,あくのはどう/あなをほる/あまごい/いあいぎり/いちゃもん/いばる/いびき/いやなおと/いわくだき/うらみ/おいうち/おんがえし/かげぶんしん/かたきうち/からげんき/かわらわり/がんせきふうじ/きあいだま/きりさく/きんぞくおん/くさむすび/くろいまなざし/けたぐり/こらえる/こわいかお/さしおさえ/しっぺがえし/じごくづき/すなあらし/ずつき/だましうち/ちょうはつ/つじぎり/つばめがえし/つめとぎ/つるぎのまい/てっていこうせん/てっぺき/でんじは/でんじふゆう/とぎすます/どくづき/どくどく/どろぼう/ないしょばなし/なげつける/なりきり/にらみつける/ねごと/ねむる/はかいこうせん/はたきおとす/ひっかく/ひみつのちから/ふいうち/ふくろだたき/まもる/みがわり/みねうち/めざめるパワー/やつあたり/よこどり/りんしょう/れんぞくぎり/アイアンヘッド/イカサマ/エアスラッシュ/ギガインパクト/グロウパンチ/サイコカッター/シザークロス/シャドークロー/ステルスロック/ストーンエッジ/ダブルチョップ/ダメおし/ハサミギロチン/バークアウト/ファストガード/メタルクロー/メタルバースト/メロメロ/リベンジ/ロックカット/ローキック
バッフロン,Bouffalant,626,-1,すてみ/そうしょく/ぼうおん,ノーマル,1.6m,94.6kg,あばれる/あまごい/いあいぎり/いかり/いばる/いびき/いわくだき/いわなだれ/おいうち/おんがえし/かいりき/かげぶんしん/かたきうち/からげんき/がむしゃら/がんせきふうじ/きあいだめ/きしかいせい/げきりん/こわいかお/さわぐ/しっぺがえし/しねんのずつき/じしん/じだんだ/じならし/ずつき/ちょうはつ/つのでつく/つばめがえし/つるぎのまい/どくづき/どくどく/どろかけ/ないしょばなし/なみのり/にほんばれ/にらみつける/ねごと/ねむる/ばかぢから/ひみつのちから/ふみつけ/ふるいたてる/まもる/みがわり/みだれづき/めざめるパワー/やつあたり/りんしょう/アイアンヘッド/アフロブレイク/ギガインパクト/ゲップ/コットンガード/ストーンエッジ/スマートホーン/ドわすれ/マッドショット/メガホーン/メロメロ/リベンジ/ロケットずつき/ロッククライム/ワイルドボルト
ワシボン,Rufflet,627,281,するどいめ/ちからずく/はりきり,ノーマル/ひこう,0.5m,10.5kg,あばれる/あまごい/いあいぎり/いばる/いびき/いわくだき/いわなだれ/おいかぜ/おんがえし/かいりき/かげぶんしん/かたきうち/からげんき/がんせきふうじ/きりさく/きりばらい/こうそくいどう/こらえる/こわいかお/しねんのずつき/そらをとぶ/ついばむ/つつく/つばさでうつ/つばめがえし/つめとぎ/とんぼがえり/どくどく/ないしょばなし/にほんばれ/にらみつける/ねごと/ねっぷう/ねむる/はがねのつばさ/はねやすめ/ばかぢから/ひみつのちから/ふきとばし/ふるいたてる/ぼうふう/まもる/みがわり/みだれづき/めざめるパワー/やつあたり/りんしょう/インファイト/エアスラッシュ/シャドークロー/スピードスター/ダメおし/ビルドアップ/フリーフォール/ブレイククロー/ブレイブバード/メロメロ
ウォーグル,Braviary,628,282,するどいめ/ちからずく/まけんき,ノーマル/ひこう,1.5m,41.0kg,あばれる/あまごい/いあいぎり/いばる/いびき/いわくだき/いわなだれ/おいかぜ/おんがえし/かいりき/かげぶんしん/かたきうち/からげんき/がんせきふうじ/きりさく/きりばらい/こうそくいどう/こらえる/こわいかお/しねんのずつき/そらをとぶ/ついばむ/つつく/つばさでうつ/つばめがえし/つめとぎ/とぎすます/とんぼがえり/どくどく/ないしょばなし/にほんばれ/にらみつける/ねごと/ねっぷう/ねむる/はかいこうせん/はがねのつばさ/はねやすめ/ばかぢから/ひみつのちから/ふきとばし/ふるいたてる/ぼうふう/まもる/みがわり/みだれづき/めざめるパワー/やつあたり/りんしょう/アイアンヘッド/インファイト/エアスラッシュ/ギガインパクト/ゴッドバード/シャドークロー/スピードスター/ダメおし/ビルドアップ/フリーフォール/ブレイククロー/ブレイブバード/メロメロ
バルチャイ,Vullaby,629,283,はとむね/ぼうじん/くだけるよろい,あく/ひこう,0.5m,9.0kg,あくのはどう/あまごい/いあいぎり/いちゃもん/いばる/いびき/いわくだき/うそなき/おいかぜ/おしおき/おだてる/おんがえし/かげぶんしん/かぜおこし/かたきうち/からげんき/がんせきふうじ/きりばらい/くろいまなざし/こらえる/こわいかお/さしおさえ/しっぺがえし/じこあんじ/そらをとぶ/だましうち/ちょうはつ/ついばむ/つばめがえし/てっぺき/とおせんぼう/とんぼがえり/どくどく/どろぼう/ないしょばなし/にほんばれ/にらみつける/ねごと/ねっぷう/ねむる/はがねのつばさ/はたきおとす/はねやすめ/ひみつのちから/ふきとばし/まもる/みがわり/みだれづき/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/わるだくみ/イカサマ/エアスラッシュ/オウムがえし/シャドーボール/スピードスター/ダメおし/バークアウト/ブレイブバード/メロメロ
ケーシィ,Abra,63,-1,シンクロ/せいしんりょく/マジックガード,エスパー,0.9m,19.5kg,あくむ/あまごい/いかり/いちゃもん/いばる/いびき/おんがえし/かげぶんしん/かみなりパンチ/からげんき/がまん/きあいパンチ/くさむすび/こらえる/さしおさえ/しぜんのめぐみ/しねんのずつき/しんぴのまもり/じこあんじ/じごくぐるま/じゅうりょく/すてみタックル/ずつき/ちきゅうなげ/ちょうはつ/でんげきは/でんじは/でんじほう/とっしん/どくどく/どろぼう/ないしょばなし/なげつける/なりきり/にほんばれ/ねごと/ねむる/のしかかり/のろい/はたきおとす/ばくれつパンチ/ひかりのかべ/ひみつのちから/ほのおのパンチ/まもる/みがわり/めいそう/めざめるパワー/ものまね/やつあたり/ゆうわく/ゆびをふる/ゆめくい/よこどり/りんしょう/れいとうパンチ/アイアンテール/アンコール/イカサマ/エナジーボール/カウンター/ガードシェア/ガードスワップ/サイコウェーブ/サイコキネシス/サイコシフト/サイコショック/サイコフィールド/サイドチェンジ/シグナルビーム/シャドーボール/スキルスワップ/チャージビーム/テレキネシス/テレポート/トライアタック/トリック/トリックルーム/ドレインパンチ/バリアー/パワートリック/フラッシュ/マジカルシャイン/マジックコート/マジックルーム/メガトンキック/メガトンパンチ/メロメロ/リサイクル/リフレクター/ロケットずつき/ワンダールーム
バルジーナ,Mandibuzz,630,284,はとむね/ぼうじん/くだけるよろい,あく/ひこう,1.2m,39.5kg,あくのはどう/あまごい/いあいぎり/いちゃもん/いばる/いびき/いわくだき/うそなき/おいかぜ/おしおき/おだてる/おんがえし/かげぶんしん/かぜおこし/かたきうち/からげんき/がんせきふうじ/きりばらい/くろいまなざし/こらえる/こわいかお/さしおさえ/しっぺがえし/じこあんじ/そらをとぶ/だましうち/ちょうはつ/ついばむ/つばめがえし/てっぺき/とおせんぼう/とんぼがえり/どくどく/どろぼう/ないしょばなし/にほんばれ/にらみつける/ねごと/ねっぷう/ねむる/はかいこうせん/はがねのつばさ/はたきおとす/はねやすめ/ひみつのちから/ふきとばし/まもる/みがわり/みだれづき/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/わるだくみ/イカサマ/エアスラッシュ/オウムがえし/ギガインパクト/ゴッドバード/シャドーボール/スピードスター/ダメおし/バークアウト/ブレイブバード/ボーンラッシュ/メロメロ
クイタラン,Heatmor,631,317,くいしんぼう/もらいび/しろいけむり,ほのお,1.4m,58.0kg,あなをほる/あまごい/いあいぎり/いえき/いばる/いびき/いわくだき/おいうち/おにび/おんがえし/かえんほうしゃ/かぎわける/かげぶんしん/かみなりパンチ/からげんき/がんせきふうじ/きあいだま/きあいパンチ/きりさく/くすぐる/けたぐり/こらえる/したでなめる/しめつける/じごくづき/じだんだ/たいあたり/たくわえる/だいもんじ/だましうち/ちょうはつ/つじぎり/つばめがえし/つめとぎ/どくどく/どろぼう/ないしょばなし/なげつける/にほんばれ/ねごと/ねっぷう/ねむる/のしかかり/のみこむ/のろい/はきだす/はじけるほのお/はたきおとす/ばかぢから/ひみつのちから/ふいうち/ぶんまわす/ほのおのうず/ほのおのパンチ/ほのおのムチ/まきつく/まもる/みがわり/みだれひっかき/むしくい/めざめるパワー/やきつくす/やつあたり/よこどり/りんしょう/れんごく/オーバーヒート/ギガインパクト/ギガドレイン/グロウパンチ/ゲップ/シャドークロー/ソーラービーム/ドわすれ/ドレインパンチ/フレアドライブ/メロメロ/リサイクル
アイアント,Durant,632,316,むしのしらせ/はりきり/なまけ,むし/はがね,0.3m,33.0kg,あなをほる/いあいぎり/いばる/いびき/いやなおと/いわくだき/いわなだれ/おんがえし/かいりき/かげぶんしん/かたきうち/かみくだく/かみつく/かみなりのキバ/からげんき/がむしゃら/がんせきふうじ/きんぞくおん/こうそくいどう/こらえる/じたばた/じだんだ/すなあらし/すなかけ/だましうち/つばめがえし/つめとぎ/てだすけ/てっていこうせん/てっぺき/であいがしら/でんじは/どくどく/ないしょばなし/なかまづくり/ねごと/ねむる/はさむ/ばかぢから/ひみつのちから/ふくろだたき/まとわりつく/まもる/みがわり/むしくい/むしのていこう/めざめるパワー/やつあたり/りんしょう/れんぞくぎり/アイアンヘッド/エナジーボール/ギガインパクト/シザークロス/シャドークロー/ストーンエッジ/ハサミギロチン/バトンタッチ/メタルクロー/メタルバースト/メロメロ/ラスターカノン/ロックカット/ロッククライム
モノズ,Deino,633,386,はりきり,あく/ドラゴン,0.8m,17.3kg,あくのはどう/あまごい/いちゃもん/いばる/いびき/いやなおと/いわくだき/うらみ/おどろかす/おんがえし/かいりき/かげぶんしん/かみくだく/かみつく/かみなりのキバ/からげんき/きあいだめ/げきりん/こおりのキバ/こらえる/こわいかお/さわぐ/しねんのずつき/じこあんじ/ずつき/たいあたり/たたきつける/だいちのちから/ちょうはつ/でんげきは/でんじは/どくどく/どろぼう/ないしょばなし/にほんばれ/ねごと/ねむる/のしかかり/ばかぢから/ひみつのちから/ふるいたてる/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/もろはのずつき/やきつくす/やつあたり/りゅうせいぐん/りゅうのいかり/りゅうのいぶき/りゅうのはどう/りんしょう/わるだくみ/アクアテール/ゲップ/ダブルアタック/ダメおし/ドラゴンダイブ/ドラゴンテール/ハイパーボイス/メロメロ
ジヘッド,Zweilous,634,387,はりきり,あく/ドラゴン,1.4m,50.0kg,あくのはどう/あまごい/いちゃもん/いばる/いびき/いやなおと/いわくだき/うらみ/おどろかす/おんがえし/かいりき/かげぶんしん/かみくだく/かみつく/かみなりのキバ/からげんき/きあいだめ/げきりん/こおりのキバ/こらえる/こわいかお/さわぐ/しねんのずつき/じこあんじ/ずつき/たいあたり/たたきつける/だいちのちから/ちょうはつ/てだすけ/でんげきは/でんじは/どくどく/どろぼう/ないしょばなし/にほんばれ/ねごと/ねむる/のしかかり/ばかぢから/ひみつのちから/ふくろだたき/ふるいたてる/ほえる/ほのおのキバ/まもる/みがわり/めざめるパワー/もろはのずつき/やきつくす/やつあたり/りゅうせいぐん/りゅうのいかり/りゅうのいぶき/りゅうのはどう/りんしょう/わるだくみ/アクアテール/ゲップ/ダブルアタック/ダメおし/ドラゴンダイブ/ドラゴンテール/ハイパーボイス/メロメロ
サザンドラ,Hydreigon,635,388,ふゆう,あく/ドラゴン,1.8m,160.0kg,あくのはどう/あまごい/いちゃもん/いばる/いびき/いやなおと/いわくだき/いわなだれ/うらみ/おいかぜ/おどろかす/おんがえし/かいりき/かえんほうしゃ/かげぶんしん/かみくだく/かみつく/かみなりのキバ/からげんき/がんせきふうじ/きあいだま/きあいだめ/きりばらい/げきりん/こおりのキバ/こらえる/こわいかお/さわぐ/しっぺがえし/しねんのずつき/じこあんじ/じごくづき/じしん/じならし/ずつき/そらをとぶ/たいあたり/たたきつける/だいちのちから/だいもんじ/ちょうはつ/てだすけ/でんげきは/でんじは/とんぼがえり/どくどく/どろぼう/ないしょばなし/なみのり/にほんばれ/ねごと/ねっぷう/ねむる/のしかかり/はかいこうせん/はがねのつばさ/はねやすめ/ばかぢから/ひみつのちから/ふくろだたき/ふるいたてる/ぶんまわす/ほえる/ほのおのうず/ほのおのキバ/まもる/みがわり/めざめるパワー/もろはのずつき/やきつくす/やつあたり/りゅうせいぐん/りゅうのいかり/りゅうのいぶき/りゅうのはどう/りゅうのまい/りんしょう/わるだくみ/アイアンテール/アクアテール/アクロバット/エコーボイス/ギガインパクト/ゲップ/シグナルビーム/ストーンエッジ/ダブルアタック/ダメおし/チャージビーム/トライアタック/ドラゴンダイブ/ドラゴンテール/ハイドロポンプ/ハイパーボイス/バークアウト/メロメロ/ラスターカノン/リフレクター/ワイドブレイカー
メラルバ,Larvesta,636,-1,ほのおのからだ/むしのしらせ,むし/ほのお,1.1m,28.8kg,あさのひざし/あばれる/いとをはく/いばる/いびき/おにび/おんがえし/かえんぐるま/かえんほうしゃ/かげぶんしん/かたくなる/からげんき/きゅうけつ/こらえる/しねんのずつき/しんぴのまもり/すいとる/すてみタックル/だいもんじ/でんじふゆう/とっしん/とんぼがえり/どくどく/ないしょばなし/にほんばれ/ねごと/ねっぷう/ねむる/ひかりのかべ/ひのこ/ひみつのちから/まもる/みがわり/みやぶる/むしくい/むしのさざめき/むしのていこう/めいそう/めざめるパワー/やきつくす/やつあたり/りんしょう/アクロバット/オーバーヒート/ギガドレイン/サイコキネシス/シグナルビーム/ソーラービーム/ドわすれ/ニトロチャージ/フレアドライブ/ワイルドボルト
